accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz
-5.77,-0.67,7.92,-15.31,38.19,-20.87,46.06,-6.50,-30.25
-6.24,-0.59,7.22,-8.19,32.00,-14.19,46.88,-5.38,-29.06
-6.29,-1.25,7.33,0.50,-11.31,-4.19,48.00,-3.50,-25.87
-6.12,-0.91,8.40,-8.88,-15.94,-4.31,48.75,-3.00,-27.00
-6.51,-1.58,6.98,-38.69,49.38,-16.62,46.50,-2.25,-27.75
-7.24,-2.51,5.88,-4.38,32.50,10.44,49.50,-0.75,-22.69
-7.69,-2.09,6.21,4.94,17.75,8.88,51.00,-0.37,-18.69
-8.15,-2.03,5.62,-0.44,-7.31,6.44,51.75,-2.25,-15.50
-8.33,-2.39,4.82,4.56,19.50,11.88,50.56,-1.06,-13.56
-7.92,-1.82,6.35,1.56,20.25,9.69,50.56,-4.88,-12.25
-8.79,-1.36,3.83,7.38,73.25,-31.06,50.56,-5.25,-11.19
-8.25,-2.04,5.73,-12.13,84.50,-2.63,51.75,-5.25,-6.06
-9.98,-1.21,3.14,16.87,81.37,-20.62,50.56,-6.00,-0.88
-10.44,-1.16,1.33,14.56,40.50,-1.88,50.25,-6.00,6.19
-9.79,-1.37,0.17,0.94,74.81,2.50,49.75,-6.00,8.69
-10.56,-0.92,-1.49,-2.13,62.81,10.31,48.19,-6.00,13.75
-9.75,-1.34,-0.40,-18.69,27.19,-0.63,44.00,-7.50,19.75
-9.85,-1.40,-1.23,-7.56,32.31,5.31,42.75,-6.75,21.75
-9.76,-1.04,-1.80,-10.56,11.25,13.06,42.06,-8.56,21.50
-10.29,-1.15,-1.98,-28.62,0.50,2.31,40.06,-8.56,23.75
-8.20,0.13,-1.10,9.69,15.44,2.88,40.88,-11.00,23.06
-9.28,-1.04,-2.14,1.19,19.25,27.06,39.69,-11.00,25.00
-8.95,-0.01,-2.21,19.81,33.88,2.38,38.56,-12.06,24.56
-9.45,0.01,-2.98,6.38,17.87,12.19,35.56,-11.38,27.37
-9.72,-0.27,-3.46,4.81,38.31,-16.69,35.56,-10.56,28.25
-8.90,0.19,-4.07,6.25,68.06,1.56,32.19,-9.88,31.37
-8.02,-0.14,-4.75,-3.81,63.00,-8.19,28.06,-9.88,35.38
-7.90,-0.49,-6.07,8.69,41.38,-0.63,23.06,-10.19,38.06
-7.62,-0.77,-6.56,13.38,24.50,4.38,20.06,-9.38,38.19
-6.74,-0.68,-6.75,3.63,59.19,11.19,17.50,-9.00,40.19
-5.04,-0.80,-7.60,18.69,94.56,2.25,13.38,-8.25,42.50
-3.37,-0.80,-8.88,5.63,113.50,-5.19,5.88,-8.25,43.06
-1.60,-0.39,-9.58,-30.25,107.75,1.50,-3.88,-7.06,43.19
-0.07,-0.47,-9.33,-11.94,86.62,1.19,-12.50,-8.56,40.88
1.04,-0.38,-9.96,9.00,87.25,2.31,-22.25,-10.88,37.06
2.21,-0.25,-9.85,16.44,33.00,-5.00,-27.87,-10.19,34.75
2.25,-0.20,-10.16,26.56,-23.06,-1.06,-28.87,-10.19,34.50
1.48,-1.32,-10.01,105.62,-44.69,-7.00,-27.06,-8.38,36.38
0.99,-3.11,-8.73,162.56,-58.94,2.56,-24.06,-0.88,38.00
-0.24,-5.31,-7.93,125.94,-29.37,-1.00,-19.56,10.50,38.00
-0.45,-7.43,-5.83,177.69,-39.44,-3.38,-18.37,19.56,35.75
-0.54,-9.26,-3.09,207.56,7.81,-37.13,-16.19,29.06,29.19
0.46,-10.53,0.73,200.25,7.56,-31.81,-18.00,37.06,19.50
0.20,-12.39,0.71,51.81,-19.00,-16.94,-20.56,41.50,2.88
0.50,-11.54,0.72,-17.87,-10.44,10.63,-20.19,41.50,1.75
0.00,-10.56,-0.83,-120.75,14.25,8.50,-19.75,40.69,4.50
-0.19,-10.53,-2.87,-181.50,-2.00,4.50,-19.75,38.06,14.00
0.10,-8.32,-5.29,-194.75,-21.94,4.38,-19.50,33.56,25.00
-0.28,-5.78,-7.67,-198.38,-21.31,11.63,-17.19,23.19,34.38
-0.74,-2.81,-8.97,-176.88,-9.75,15.56,-16.06,10.75,40.69
-0.94,-0.06,-9.67,-227.63,5.56,27.19,-15.00,-3.69,41.19
-1.49,3.84,-8.92,-211.13,7.69,18.44,-13.75,-17.50,40.56
-1.43,6.28,-7.07,-187.44,-13.75,-7.88,-13.75,-36.06,26.50
-1.50,7.16,-4.53,-111.69,-21.50,12.31,-13.50,-42.69,16.50
-0.96,7.54,-3.28,10.75,5.31,-1.00,-14.19,-44.88,9.38
-1.75,7.82,-4.91,115.37,-44.19,-11.63,-13.50,-44.38,10.69
-2.69,7.01,-7.79,177.63,-115.00,-28.94,-11.56,-40.69,22.50
-4.12,4.36,-7.59,42.56,-129.31,-29.50,-3.75,-33.19,33.50
-6.05,2.65,-5.32,-2.00,-135.44,-38.13,6.38,-27.19,38.25
-7.45,2.56,-3.76,-1.06,-112.56,-40.00,18.00,-25.25,35.50
-8.44,1.98,-2.69,-2.06,-87.19,-43.38,26.19,-23.75,30.37
-9.22,1.43,-1.30,3.81,-73.00,-37.88,34.88,-21.56,25.25
-9.66,0.60,-0.40,28.75,-58.88,-44.88,40.06,-19.37,21.06
-9.48,0.11,0.51,15.25,-55.31,-33.56,43.00,-15.56,18.25
-9.93,-0.27,1.07,3.50,-76.37,-23.50,44.88,-12.69,13.56
-9.56,-0.55,2.89,1.81,-86.37,-18.69,47.00,-11.19,8.38
-8.83,-0.71,3.89,-11.00,-84.81,-17.50,48.56,-9.69,0.19
-8.75,-1.38,5.44,1.75,-80.56,-15.00,48.88,-7.75,-4.00
-6.95,-1.27,5.96,5.38,-78.62,-13.75,48.50,-5.88,-11.06
-5.84,-2.73,7.30,9.25,-107.12,-20.44,46.19,-6.25,-17.00
-6.53,0.05,8.52,20.12,-63.69,14.81,40.88,-4.75,-25.69
-5.26,0.04,9.55,-15.50,-74.50,34.50,37.88,-6.25,-31.19
-3.91,0.30,8.65,-28.31,-83.12,13.19,33.75,-6.25,-36.00
0.61,-2.34,12.50,-22.81,-90.19,9.63,26.25,-1.75,-41.06
0.10,-1.27,10.31,7.25,-21.06,16.37,20.00,1.75,-47.00
0.07,-0.92,8.97,6.69,-12.56,20.87,18.25,0.25,-47.06
-0.37,-1.38,9.00,-0.63,15.13,1.50,18.25,-0.37,-48.88
-1.05,-1.77,9.91,-6.13,12.75,-16.56,18.25,0.00,-49.69
-0.04,-1.25,10.02,-4.19,-8.88,3.69,19.75,1.75,-47.69
-1.72,-1.84,9.72,-1.63,7.31,2.25,20.50,1.00,-47.00
-1.10,-1.27,9.19,-4.75,-7.25,12.56,19.37,1.37,-47.25
-0.08,-1.42,9.63,1.88,2.69,7.69,19.37,2.06,-47.69
-0.63,-1.28,9.41,2.31,2.44,4.88,19.37,1.37,-48.88
-0.31,-1.47,9.49,-0.81,-4.50,4.19,19.75,1.00,-49.25
-0.24,-1.59,9.66,-2.13,-6.13,3.38,19.00,0.56,-49.25
-0.19,-1.49,9.37,-4.44,-9.94,-0.56,18.56,2.50,-50.50
0.17,-1.85,9.84,-2.81,-10.75,1.81,17.06,2.50,-49.69
